file_name,TP,FP,TN,FN,TPR,FPR,TNR,FNR,ACC,sensitivity,specificity,weighted_acc,real_x,real_y,real_radius
f02_3498_0.5890_-0.1963,20,29,9490,61,0.24691358024691357,0.0030465385019434812,0.9969534614980565,0.7530864197530864,0.990625,0.24691358024691357,0.9969534614980565,0.621933520872485,43.164658546447754,56.86223745346069,5.987380967896214
f02_3499_0.5890_-0.3927,52,29,9458,61,0.46017699115044247,0.0030568145883841046,0.9969431854116159,0.5398230088495575,0.990625,0.46017699115044247,0.9969431854116159,0.7285600882810291,44.76033568382263,62.85735726356506,6.205419467252888
f02_3500_0.5890_-0.5890,0,113,9438,49,0.0,0.011831221861585174,0.9881687781384149,1.0,0.983125,0.0,0.9881687781384149,0.49408438906920743,46.325523853302,68.16029191017151,4.330328539071218
f02_3505_0.3927_0.1963,63,18,9469,50,0.5575221238938053,0.0018973331927901339,0.9981026668072098,0.4424778761061947,0.9929166666666667,0.5575221238938053,0.9981026668072098,0.7778123953505076,47.97925591468811,44.25040125846863,6.1008680498873336
f02_3506_0.3927_-0.0000,64,17,9470,49,0.5663716814159292,0.001791925793190682,0.9982080742068093,0.4336283185840708,0.993125,0.5663716814159292,0.9982080742068093,0.7822898778113693,47.99785614013672,50.60941457748413,6.238173568790653
f02_3507_0.3927_-0.1963,61,20,9499,20,0.7530864197530864,0.0021010610358230906,0.9978989389641769,0.24691358024691357,0.9958333333333333,0.7530864197530864,0.9978989389641769,0.8754926793586317,48.578972816467285,56.81832432746887,5.853502544344347
f02_3508_0.3927_-0.3927,45,68,9483,4,0.9183673469387755,0.007119673332635326,0.9928803266673647,0.08163265306122448,0.9925,0.9183673469387755,0.9928803266673647,0.9556238368030701,49.05694603919983,62.92073607444763,4.6406394460443865
f02_3509_0.3927_-0.5890,0,81,9438,81,0.0,0.008509297195083518,0.9914907028049165,1.0,0.983125,0.0,0.9914907028049165,0.49574535140245823,51.10840201377869,68.36497664451599,5.430673255685366
f02_3514_0.1963_0.1963,42,39,9412,107,0.28187919463087246,0.0041265474552957355,0.9958734525447043,0.7181208053691275,0.9847916666666666,0.28187919463087246,0.9958734525447043,0.6388763235877883,54.55993413925171,44.2368221282959,7.942886827602916
f02_3515_0.1963_-0.0000,46,67,9420,67,0.40707964601769914,0.007062295773163276,0.9929377042268367,0.5929203539823009,0.9860416666666667,0.40707964601769914,0.9929377042268367,0.7000086751222679,54.18615460395813,50.59392750263214,6.8374754839781415
f02_3516_0.1963_-0.1963,89,24,9427,60,0.5973154362416108,0.0025394138186435296,0.9974605861813565,0.40268456375838924,0.99125,0.5973154362416108,0.9974605861813565,0.7973880112114836,54.92782711982727,56.89464569091797,7.689631694765909
f02_3517_0.1963_-0.3927,70,43,9444,43,0.6194690265486725,0.004532518182776431,0.9954674818172236,0.3805309734513274,0.9910416666666667,0.6194690265486725,0.9954674818172236,0.8074682541829481,55.3027606010437,62.87907600402832,6.577387437774398
f02_3518_0.1963_-0.5890,25,172,9347,56,0.30864197530864196,0.01806912490807858,0.9819308750919215,0.691358024691358,0.97625,0.30864197530864196,0.9819308750919215,0.6452864252002817,55.99476933479309,68.24790358543396,5.438559002529206
f02_3523_-0.0000_0.1963,25,172,9347,56,0.30864197530864196,0.01806912490807858,0.9819308750919215,0.691358024691358,0.97625,0.30864197530864196,0.9819308750919215,0.6452864252002817,59.99198496341705,44.15809750556946,5.751291878253931
f02_3524_-0.0000_-0.0000,34,79,9408,79,0.3008849557522124,0.008327184568356698,0.9916728154316433,0.6991150442477876,0.9835416666666666,0.3008849557522124,0.9916728154316433,0.6462788855919279,60.48478901386261,50.51755964756012,6.849965910860302
f02_3525_-0.0000_-0.1963,52,29,9422,97,0.348993288590604,0.003068458364194265,0.9969315416358058,0.6510067114093959,0.986875,0.348993288590604,0.9969315416358058,0.6729624151132049,60.83901822566986,56.813939809799194,7.147031805282349
f02_3526_-0.0000_-0.3927,28,21,9466,85,0.24778761061946902,0.0022135553915884894,0.9977864446084115,0.7522123893805309,0.9889583333333334,0.24778761061946902,0.9977864446084115,0.6227870276139402,60.958017110824585,62.82252073287964,6.472845722768156
f02_3527_-0.0000_-0.5890,8,105,9382,105,0.07079646017699115,0.011067776957942447,0.9889322230420575,0.9292035398230089,0.978125,0.07079646017699115,0.9889322230420575,0.5298643416095243,61.66289746761322,68.28179240226746,6.9422418210947825
f02_3567_0.7854_0.3927,28,21,9498,53,0.345679012345679,0.002206114087614245,0.9977938859123857,0.654320987654321,0.9922916666666667,0.345679012345679,0.9977938859123857,0.6717364491290323,39.538480043411255,41.619075536727905,5.620625198640078
f02_3568_0.7854_0.1963,0,29,9522,49,0.0,0.0030363312742121245,0.9969636687257879,1.0,0.991875,0.0,0.9969636687257879,0.49848183436289395,38.03128480911255,47.718164920806885,4.6930129293722125
f02_3569_0.7854_-0.0000,7,106,9413,74,0.08641975308641975,0.01113562348986238,0.9888643765101376,0.9135802469135802,0.98125,0.08641975308641975,0.9888643765101376,0.5376420647982787,38.16080093383789,54.0668249130249,5.593831547958581
f02_3570_0.7854_-0.1963,2,79,9440,79,0.024691358024691357,0.008299191091501209,0.9917008089084988,0.9753086419753086,0.9835416666666666,0.024691358024691357,0.9917008089084988,0.5081960834665951,38.75637769699097,60.36392569541931,5.107399159216255
f02_3571_0.7854_-0.3927,0,81,9470,49,0.0,0.008480787352109727,0.9915192126478902,1.0,0.9864583333333333,0.0,0.9915192126478902,0.4957596063239451,40.3416645526886,66.3629937171936,4.681697769996045
